code,location,registered,envelopes,valid,Strana svobodných občanů,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Radostné Česko,Strana zelených,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Volte Pr.Blok www.cibulka.net,Řád národa - Vlastenecká unie,STAROSTOVÉ A NEZÁVISLÍ,"ROZUMNÍ-stop migraci,diktát.EU",Česká str.sociálně demokrat.,Společ.proti výst.v Prok.údolí,Občanská demokratická strana,Komunistická str.Čech a Moravy,Česká pirátská strana
500054,Praha 1,21556,14145,14036,241,13,1,514,14,44,12,9,774,41,657,6,2770,392,2332
500224,Praha 10,79964,52238,51895,1050,34,17,1212,35,67,50,40,2334,230,3175,15,8137,2485,9355
547034,Praha 11,58353,39279,39116,846,18,17,757,29,57,30,48,1548,192,2513,13,5100,2310,6763
547107,Praha 12,42205,28550,28428,601,13,11,544,21,41,23,24,1146,160,1750,18,4095,1774,5034
539694,Praha 13,42687,28354,28221,742,15,12,631,27,43,15,24,1409,123,1601,92,4444,1273,5410
547361,Praha 14,32506,20128,20018,470,16,7,401,25,34,14,39,817,124,1193,10,3004,929,3561
547387,Praha 15,24276,16273,16200,364,18,13,318,21,22,13,17,702,67,905,6,2544,713,2886
539601,Praha 16,6143,4376,4346,89,3,6,55,6,6,6,6,210,28,211,8,865,181,772
547174,Praha 17,18223,11873,11826,270,14,2,228,7,23,5,35,552,50,727,5,1659,712,2115
547417,Praha 18,12641,8291,8235,233,5,5,168,7,12,3,5,348,48,520,1,1224,397,1372
547344,Praha 19,4815,3495,3471,77,0,1,60,2,8,1,11,199,25,212,1,630,175,546
500089,Praha 2,32641,20954,20814,472,18,11,688,14,37,20,15,1086,58,991,8,3859,587,3871
538213,Praha 20,11243,7981,7944,134,2,5,137,9,21,6,11,373,72,458,0,1293,544,1303
538949,Praha 21,7512,5511,5497,101,1,1,68,3,5,5,2,224,19,268,1,1163,201,913
538931,Praha 22,7355,5089,5067,142,3,1,100,6,14,0,11,332,33,256,1,971,167,852
500097,Praha 3,51837,32736,32571,698,20,7,1125,17,54,34,25,1565,137,1764,11,5288,1360,6069
500119,Praha 4,95350,63865,63462,1322,47,15,1459,37,95,65,55,3158,250,3822,33,10281,2815,11134
500143,Praha 5,58953,39001,38802,826,25,12,1026,34,65,27,38,2130,143,1932,125,6517,1402,7021
500178,Praha 6,74849,53558,53196,897,27,18,1565,29,66,35,33,3306,157,2893,21,8312,2458,9189
500186,Praha 7,30570,20202,20064,427,21,8,848,23,25,20,20,1034,66,978,5,3145,590,3925
500208,Praha 8,78558,51455,51154,996,32,19,1159,35,62,39,67,2431,207,3001,20,7978,3153,8755
500216,Praha 9,38463,25101,24951,526,20,10,504,24,27,23,31,1078,93,1434,7,4508,1114,4164
538060,Praha-Běchovice,1546,1107,1105,20,2,1,11,1,1,1,1,46,10,43,1,237,54,175
538078,Praha-Benice,484,367,363,6,2,0,3,0,1,0,0,30,1,13,0,74,8,59
538124,Praha-Březiněves,957,724,721,9,0,0,8,0,2,1,1,32,3,44,0,147,41,101
547310,Praha-Čakovice,7158,5042,4999,108,2,1,73,1,14,1,2,360,20,250,0,914,225,771
547298,Praha-Ďáblice,2598,1853,1842,43,2,0,19,1,2,0,0,172,10,86,1,347,84,280
547301,Praha-Dolní Chabry,3020,2274,2253,47,2,1,36,2,4,0,0,125,7,85,1,483,72,392
547379,Praha-Dolní Měcholupy,1737,1319,1315,28,0,0,21,2,2,2,2,61,4,67,0,274,39,230
538175,Praha-Dolní Počernice,1790,1351,1339,44,1,1,24,0,1,1,1,59,11,61,0,290,47,211
538205,Praha-Dubeč,2601,1916,1905,57,2,0,34,2,5,0,10,77,6,110,3,335,92,268
538302,Praha-Klánovice,2597,1887,1877,37,2,1,33,0,2,0,3,93,8,74,0,458,60,295
538353,Praha-Koloděje,1032,787,784,11,0,1,10,0,2,0,0,41,5,34,0,170,34,140
538361,Praha-Kolovraty,2577,1976,1965,54,2,0,36,0,5,2,1,189,14,88,0,319,55,326
538388,Praha-Královice,284,195,194,2,0,0,2,0,1,0,0,10,0,19,0,31,10,37
538400,Praha-Křeslice,748,598,595,14,0,0,10,0,1,0,1,31,4,17,0,116,6,110
547042,Praha-Kunratice,5771,4265,4238,95,6,1,95,4,12,1,2,270,24,151,1,799,152,713
547051,Praha-Libuš,6550,4539,4509,106,4,1,77,3,10,6,5,188,27,218,0,733,218,830
539449,Praha-Lipence,1935,1447,1442,33,0,0,22,0,3,3,0,56,4,57,0,330,55,220
539465,Praha-Lochkov,594,420,418,15,0,0,5,1,1,0,1,23,5,18,0,73,16,70
547140,Praha-Lysolaje,888,685,680,12,0,1,19,0,0,1,0,131,0,20,0,78,12,89
547158,Praha-Nebušice,1742,1187,1181,11,0,0,35,1,1,1,3,113,3,52,2,186,50,177
538531,Praha-Nedvězí,228,167,167,5,0,3,2,0,0,0,4,4,1,7,0,31,6,27
547395,Praha-Petrovice,4717,3137,3120,75,3,0,75,3,8,4,8,161,8,203,2,450,152,585
539589,Praha-Přední Kopanina,399,314,311,5,1,0,7,1,2,0,0,12,3,15,0,67,10,62
539635,Praha-Řeporyje,2947,2074,2069,55,0,0,43,1,3,2,7,105,5,107,5,405,49,372
538736,Praha-Satalice,1658,1257,1248,35,0,2,16,2,0,0,1,141,6,68,0,223,38,168
539678,Praha-Slivenec,2524,1854,1844,40,0,0,17,3,1,4,1,249,14,68,3,355,53,291
547271,Praha-Suchdol,4635,3410,3393,64,1,4,83,1,3,4,3,434,12,147,0,510,145,537
539724,Praha-Šeberov,2145,1588,1581,34,1,0,19,2,1,0,1,61,3,53,1,343,58,252
547409,Praha-Štěrboholy,1275,975,972,9,0,0,16,2,4,2,1,48,3,39,0,213,33,158
547328,Praha-Troja,889,696,693,10,0,1,17,3,0,1,0,66,1,25,1,138,16,94
539791,Praha-Újezd,2085,1583,1577,38,1,0,31,2,2,0,1,80,8,55,0,292,59,272
547115,Praha-Velká Chuchle,1746,1313,1304,19,0,0,28,0,1,1,0,77,2,51,3,260,52,213
539007,Praha-Vinoř,2945,2166,2158,40,4,2,35,2,2,1,8,201,8,107,1,337,85,318
539864,Praha-Zbraslav,7359,5210,5173,102,4,1,124,5,12,4,7,249,22,255,2,905,215,915
539899,Praha-Zličín,4079,2820,2801,50,0,0,33,2,6,2,1,169,15,111,4,472,125,490
